shipment_id,duration_seconds,distance_meters
SHP_1464,127769.0,3151731.0
SHP_1465,103561.3,2510848.8
SHP_1467,45054.1,1099022.0
SHP_1469,44141.8,1079292.0
SHP_1470,83545.1,1981291.8
SHP_1475,84211.2,2001906.8
SHP_1476,86479.5,2054301.5
SHP_1477,168976.5,4307509.0
SHP_1478,172683.9,4388490.5
SHP_1480,84071.5,1990579.6
SHP_1481,78992.0,1873243.1
SHP_1483,45440.5,1108184.8
SHP_1484,172692.1,4383696.5
SHP_1485,64726.0,1545750.0
SHP_1487,177914.7,4441874.0
SHP_1488,169852.2,4310962.0
SHP_1490,163447.8,4077846.5
SHP_1496,91885.0,2177483.3
SHP_1498,75775.7,1813747.4
SHP_1499,95715.5,2251729.3
SHP_1501,86785.5,2061830.3
SHP_1502,90960.0,2159799.8
SHP_1504,173114.1,4390415.0
SHP_1506,86715.4,2055850.3
SHP_1507,169584.0,4307031.0
SHP_1508,170707.6,4346546.5
SHP_1509,195915.6,4873406.0
SHP_1510,1599.6,23234.9
SHP_1513,212027.1,5312352.0
SHP_1515,194622.0,4836245.0
SHP_1516,82013.9,1951721.8
SHP_1517,56733.8,1392515.0
SHP_1519,94723.0,2219034.3
SHP_1520,91444.0,2167953.8
SHP_1523,149086.3,3802294.3
SHP_1527,87865.5,2077176.8
SHP_1532,85985.8,2013776.0
SHP_1533,53450.1,1266362.3
SHP_1534,102252.3,2483861.0
SHP_1536,134735.3,3330798.3
SHP_1538,133682.7,3310257.3
SHP_1543,92423.5,2186677.8
SHP_1544,167128.6,4261510.0
SHP_1547,173191.2,4401193.5
SHP_1548,163302.8,4064653.0
SHP_1549,168714.6,4295998.5
SHP_1553,91576.9,2199942.5
SHP_1555,73116.8,1757434.8
SHP_1557,94232.1,2223476.5
SHP_1558,168478.9,4279977.0
SHP_1560,94730.4,2236911.3
SHP_1564,43571.0,1053395.0
SHP_1565,70372.7,1703840.0
SHP_1567,193529.1,4811730.0
SHP_1569,95209.9,2300222.3
SHP_1570,87347.8,2063855.0
SHP_1571,193941.3,4823044.0
SHP_1576,169629.4,4317559.5
SHP_1577,103257.0,2504870.8
SHP_1579,200351.6,4964060.0
SHP_1580,92304.5,2194288.8
SHP_1581,173116.8,4401529.0
SHP_1584,46899.9,1121550.1
SHP_1585,167915.4,4282205.0
SHP_1587,77914.2,1863958.4
SHP_1591,172347.8,4376207.0
SHP_1596,87167.9,2069278.4
SHP_1597,197062.8,4903091.5
SHP_1598,75571.1,1819517.9
